,iso3,year,cckp_temp
0,AFG,1946,1
1,AFG,1947,1
2,AFG,1948,1
3,AFG,1949,1
4,AFG,1950,1
5,AFG,1951,1
6,AFG,1952,1
7,AFG,1953,1
8,AFG,1954,1
9,AFG,1955,1
10,AFG,1956,1
11,AFG,1957,1
12,AFG,1958,1
13,AFG,1959,1
14,AFG,1960,1
15,AFG,1961,1
16,AFG,1962,1
17,AFG,1963,1
18,AFG,1964,1
19,AFG,1965,1
20,AFG,1966,1
21,AFG,1967,1
22,AFG,1968,1
23,AFG,1969,1
24,AFG,1970,1
25,AFG,1971,1
26,AFG,1972,1
27,AFG,1973,1
28,AFG,1974,1
29,AFG,1975,1
30,AFG,1976,1
31,AFG,1977,1
32,AFG,1978,1
33,AFG,1979,1
34,AFG,1980,1
35,AFG,1981,1
36,AFG,1982,1
37,AFG,1983,1
38,AFG,1984,1
39,AFG,1985,1
40,AFG,1986,1
41,AFG,1987,1
42,AFG,1988,1
43,AFG,1989,1
44,AFG,1990,1
45,AFG,1991,1
46,AFG,1992,1
47,AFG,1993,1
48,AFG,1994,1
49,AFG,1995,1
50,AFG,1996,1
51,AFG,1997,1
52,AFG,1998,1
53,AFG,1999,1
54,AFG,2000,1
55,AFG,2001,1
56,AFG,2002,1
57,AFG,2003,1
58,AFG,2004,1
59,AFG,2005,1
60,AFG,2006,1
61,AFG,2007,1
62,AFG,2008,1
63,AFG,2009,1
64,AFG,2010,1
65,AFG,2011,1
66,AFG,2012,1
67,AFG,2013,1
68,AFG,2014,1
69,AFG,2015,1
70,AFG,2016,1
71,AFG,2017,1
72,AFG,2018,1
73,AFG,2019,1
74,AFG,2020,1
75,AGO,1946,0
76,AGO,1947,0
77,AGO,1948,0
78,AGO,1949,0
79,AGO,1950,0
80,AGO,1951,0
81,AGO,1952,0
82,AGO,1953,0
83,AGO,1954,0
84,AGO,1955,0
85,AGO,1956,0
86,AGO,1957,0
87,AGO,1958,0
88,AGO,1959,0
89,AGO,1960,0
90,AGO,1961,0
91,AGO,1962,0
92,AGO,1963,0
93,AGO,1964,0
94,AGO,1965,0
95,AGO,1966,0
96,AGO,1967,0
97,AGO,1968,0
98,AGO,1969,0
99,AGO,1970,0
100,AGO,1971,0
101,AGO,1972,0
102,AGO,1973,0
103,AGO,1974,0
104,AGO,1975,0
105,AGO,1976,1
106,AGO,1977,1
107,AGO,1978,1
108,AGO,1979,1
109,AGO,1980,1
110,AGO,1981,1
111,AGO,1982,1
112,AGO,1983,1
113,AGO,1984,1
114,AGO,1985,1
115,AGO,1986,1
116,AGO,1987,1
117,AGO,1988,1
118,AGO,1989,1
119,AGO,1990,1
120,AGO,1991,1
121,AGO,1992,1
122,AGO,1993,1
123,AGO,1994,1
124,AGO,1995,1
125,AGO,1996,1
126,AGO,1997,1
127,AGO,1998,1
128,AGO,1999,1
129,AGO,2000,1
130,AGO,2001,1
131,AGO,2002,1
132,AGO,2003,1
133,AGO,2004,1
134,AGO,2005,1
135,AGO,2006,1
136,AGO,2007,1
137,AGO,2008,1
138,AGO,2009,1
139,AGO,2010,1
140,AGO,2011,1
141,AGO,2012,1
142,AGO,2013,1
143,AGO,2014,1
144,AGO,2015,1
145,AGO,2016,1
146,AGO,2017,1
147,AGO,2018,1
148,AGO,2019,1
149,AGO,2020,1
150,ALB,1946,1
151,ALB,1947,1
152,ALB,1948,1
153,ALB,1949,1
154,ALB,1950,1
155,ALB,1951,1
156,ALB,1952,1
157,ALB,1953,1
158,ALB,1954,1
159,ALB,1955,1
160,ALB,1956,1
161,ALB,1957,1
162,ALB,1958,1
163,ALB,1959,1
164,ALB,1960,1
165,ALB,1961,1
166,ALB,1962,1
167,ALB,1963,1
