,iso3,country,oecd_cctr_gdp_mean,co2_per_capita_total,year,epi_cch
0,ARG,Argentina,2.2005263157894737,299.4297801963406,2019.0,60.2
1,AUS,Australia,1.4026315789473685,1243.9770401597532,2019.0,70.4
2,AUT,Austria,2.482105263157895,768.0837810570138,2019.0,71.3
3,BEL,Belgium,2.033684210526316,1469.4643090236152,2019.0,70.2
4,BFA,Burkina Faso,0.7457894736842106,4.861129351715822,2019.0,31.9
5,BGR,Bulgaria,2.68,469.0390533870785,2019.0,69.5
6,BHS,Bahamas,0.0015789473684210526,763.3680157628337,2019.0,28.7
7,BLZ,Belize,0.17526315789473684,86.97423439706367,2019.0,37.7
9,BRB,Barbados,0.035263157894736843,205.9387298412367,2019.0,59.1
10,CAN,Canada,0.9605263157894737,1575.7847602469737,2019.0,65.7
11,CHE,Switzerland,1.2789473684210526,507.24934277060004,2019.0,81.6
12,CHL,Chile,0.9931578947368421,238.56930447501225,2019.0,54.3
13,CMR,Cameroon,0.7005263157894737,15.514183995946215,2019.0,66.4
14,COL,Colombia,0.8963157894736843,109.22019913360963,2019.0,55.4
15,CRI,Costa Rica,2.166315789473684,73.5375856519803,2019.0,54.8
16,CYP,Cyprus,1.704736842105263,330.8132366629399,2019.0,63.1
17,DEU,Germany,2.1794736842105267,1299.111090776008,2019.0,71.5
18,DNK,Denmark,3.9542105263157894,875.4747698314638,2019.0,95.0
19,DOM,Dominican Republic,1.9742105263157894,93.95636939684645,2019.0,56.1
20,ECU,Ecuador,0.27,108.71678086628084,2019.0,60.2
21,ESP,Spain,1.4778947368421052,393.5421255611819,2019.0,71.2
22,EST,Estonia,2.1478947368421055,1194.1436161716335,2019.0,59.0
23,FIN,Finland,2.8636842105263156,648.2738391290736,2019.0,77.0
24,FJI,Fiji,0.0,70.64055228726404,2019.0,36.9
25,FRA,France,1.8405263157894736,792.4798427856024,2019.0,81.9
27,GHA,Ghana,0.21368421052631578,21.34387737932132,2019.0,29.6
28,GRC,Greece,2.783157894736842,397.43941095622097,2019.0,66.5
29,GTM,Guatemala,0.8236842105263158,41.1786998692526,2019.0,36.7
30,GUY,Guyana,0.0,138.44100684316678,2019.0,38.2
31,HND,Honduras,2.498947368421053,42.80699791194626,2019.0,43.1
32,HRV,Croatia,1.855263157894737,246.09505567334753,2019.0,70.0
33,HUN,Hungary,2.3610526315789473,511.32435538046406,2019.0,71.3
34,IRL,Ireland,2.201578947368421,617.9448553499358,2019.0,66.6
35,ISL,Iceland,2.093157894736842,595.730337535463,2019.0,60.8
36,ISR,Israel,2.326315789473684,465.7410028727076,2019.0,56.9
37,ITA,Italy,3.0563157894736843,451.0768256617975,2019.0,68.1
38,JPN,Japan,1.4552631578947368,576.7605623704095,2019.0,69.5
39,KAZ,Kazakhstan,0.4878947368421052,1031.2257893776161,2019.0,44.6
40,LCA,Saint Lucia,0.4205263157894737,93.211597673323,2019.0,54.8
41,LTU,Lithuania,1.958421052631579,489.3727668135733,2019.0,65.9
42,LUX,Luxembourg,2.303684210526316,1974.0942595539557,2019.0,77.5
43,LVA,Latvia,2.4726315789473685,408.50885282428163,2019.0,67.7
44,MDG,Madagascar,1.236315789473684,7.666384810905474,2019.0,39.9
45,MLI,Mali,0.8610526315789473,5.010112903028574,2019.0,26.3
46,MLT,Malta,1.411578947368421,276.3939465175073,2019.0,62.6
47,MOZ,Mozambique,0.0,13.396643801332912,2019.0,31.1
48,MYS,Malaysia,0.3336842105263158,271.98519380485715,2019.0,52.8
49,NER,Niger,0.2894736842105263,4.384073259956144,2019.0,12.5
50,NGA,Nigeria,0.0,36.47587631932287,2019.0,50.8
51,NIC,Nicaragua,1.5015789473684211,41.815357480501575,2019.0,38.0
52,NLD,Netherlands,2.9563157894736842,967.3015002939044,2019.0,65.8
53,NOR,Norway,2.435263157894737,669.5623177173136,2019.0,78.9
54,NZL,New Zealand,1.3763157894736842,677.4009319260117,2019.0,61.5
55,PAN,Panama,0.6194736842105263,115.32606053691653,2019.0,50.3
56,PER,Peru,0.8142105263157895,115.24161913442617,2019.0,41.3
57,PHL,Philippines,0.37,50.21994093125531,2019.0,42.8
58,PNG,Papua New Guinea,0.0,30.32647388433156,2019.0,47.6
59,POL,Poland,2.285263157894737,858.3195982816732,2019.0,65.4
60,PRT,Portugal,2.5594736842105266,273.03753649170767,2019.0,63.3
61,PRY,Paraguay,1.0531578947368423,35.71499431917202,2019.0,40.9
62,ROU,Romania,1.8689473684210525,411.88378407095064,2019.0,84.6
63,RWA,Rwanda,1.0857894736842104,3.857810003658526,2019.0,35.9
64,SLB,Solomon Islands,2.814736842105263,27.902495525675718,2019.0,45.0
65,SLV,El Salvador,0.10789473684210525,43.339120731783595,2019.0,62.8
66,SVN,Slovenia,3.0657894736842106,453.79081580099086,2019.0,75.2
67,SWE,Sweden,2.273157894736842,643.3518050947255,2019.0,77.2
68,SWZ,Eswatini,0.8326315789473684,47.777290157685165,2019.0,56.9
69,TGO,Togo,1.4257894736842105,14.3942787651589,2019.0,34.4
70,THA,Thailand,0.0,118.65049777946481,2019.0,52.5
71,TTO,Trinidad and Tobago,0.03789473684210526,1503.9119935854053,2019.0,42.1
72,TUN,Tunisia,0.8457894736842105,102.67388014719464,2019.0,60.2
73,UGA,Uganda,0.1473684210526316,5.166937034573239,2019.0,27.4
74,URY,Uruguay,1.8831578947368421,124.08206586786736,2019.0,55.5
77,ZAF,South Africa,1.9194736842105262,706.7494183752259,2019.0,62.8
